customer_id,product_id
7590-VHVEG,OnlineBackup
7590-VHVEG,InternetService_DSL
5575-GNVDE,PhoneService
5575-GNVDE,OnlineSecurity
5575-GNVDE,DeviceProtection
5575-GNVDE,InternetService_DSL
3668-QPYBK,PhoneService
3668-QPYBK,OnlineSecurity
3668-QPYBK,OnlineBackup
3668-QPYBK,InternetService_DSL
7795-CFOCW,OnlineSecurity
7795-CFOCW,DeviceProtection
7795-CFOCW,TechSupport
7795-CFOCW,InternetService_DSL
9237-HQITU,PhoneService
9237-HQITU,InternetService_Fiber
9305-CDSKC,PhoneService
9305-CDSKC,MultipleLines
9305-CDSKC,DeviceProtection
9305-CDSKC,StreamingTV
9305-CDSKC,StreamingMovies
9305-CDSKC,InternetService_Fiber
1452-KIOVK,PhoneService
1452-KIOVK,MultipleLines
1452-KIOVK,OnlineBackup
1452-KIOVK,StreamingTV
1452-KIOVK,InternetService_Fiber
6713-OKOMC,OnlineSecurity
6713-OKOMC,InternetService_DSL
7892-POOKP,PhoneService
7892-POOKP,MultipleLines
7892-POOKP,DeviceProtection
7892-POOKP,TechSupport
7892-POOKP,StreamingTV
7892-POOKP,StreamingMovies
7892-POOKP,InternetService_Fiber
6388-TABGU,PhoneService
6388-TABGU,OnlineSecurity
6388-TABGU,OnlineBackup
6388-TABGU,InternetService_DSL
9763-GRSKD,PhoneService
9763-GRSKD,OnlineSecurity
9763-GRSKD,InternetService_DSL
7469-LKBCI,PhoneService
8091-TTVAX,PhoneService
8091-TTVAX,MultipleLines
8091-TTVAX,DeviceProtection
8091-TTVAX,StreamingTV
8091-TTVAX,StreamingMovies
8091-TTVAX,InternetService_Fiber
0280-XJGEX,PhoneService
0280-XJGEX,MultipleLines
0280-XJGEX,OnlineBackup
0280-XJGEX,DeviceProtection
0280-XJGEX,StreamingTV
0280-XJGEX,StreamingMovies
0280-XJGEX,InternetService_Fiber
5129-JLPIS,PhoneService
5129-JLPIS,OnlineSecurity
5129-JLPIS,DeviceProtection
5129-JLPIS,TechSupport
5129-JLPIS,StreamingTV
5129-JLPIS,StreamingMovies
5129-JLPIS,InternetService_Fiber
3655-SNQYZ,PhoneService
3655-SNQYZ,MultipleLines
3655-SNQYZ,OnlineSecurity
3655-SNQYZ,OnlineBackup
3655-SNQYZ,DeviceProtection
3655-SNQYZ,TechSupport
3655-SNQYZ,StreamingTV
3655-SNQYZ,StreamingMovies
3655-SNQYZ,InternetService_Fiber
8191-XWSZG,PhoneService
9959-WOFKT,PhoneService
9959-WOFKT,MultipleLines
9959-WOFKT,OnlineSecurity
9959-WOFKT,DeviceProtection
9959-WOFKT,StreamingTV
9959-WOFKT,StreamingMovies
9959-WOFKT,InternetService_Fiber
4190-MFLUW,PhoneService
4190-MFLUW,DeviceProtection
4190-MFLUW,TechSupport
4190-MFLUW,InternetService_DSL
4183-MYFRB,PhoneService
4183-MYFRB,OnlineBackup
4183-MYFRB,DeviceProtection
4183-MYFRB,StreamingMovies
4183-MYFRB,InternetService_Fiber
8779-QRDMV,DeviceProtection
8779-QRDMV,StreamingMovies
8779-QRDMV,InternetService_DSL
1680-VDCWW,PhoneService
1066-JKSGK,PhoneService
3638-WEABW,PhoneService
3638-WEABW,MultipleLines
3638-WEABW,OnlineBackup
3638-WEABW,TechSupport
3638-WEABW,InternetService_DSL
6322-HRPFA,PhoneService
6322-HRPFA,OnlineSecurity
6322-HRPFA,OnlineBackup
6322-HRPFA,TechSupport
6322-HRPFA,InternetService_DSL
6865-JZNKO,PhoneService
6865-JZNKO,OnlineSecurity
6865-JZNKO,OnlineBackup
6865-JZNKO,InternetService_DSL
6467-CHFZW,PhoneService
6467-CHFZW,MultipleLines
6467-CHFZW,OnlineBackup
6467-CHFZW,StreamingTV
6467-CHFZW,StreamingMovies
6467-CHFZW,InternetService_Fiber
8665-UTDHZ,OnlineBackup
8665-UTDHZ,InternetService_DSL
5248-YGIJN,PhoneService
5248-YGIJN,MultipleLines
5248-YGIJN,OnlineSecurity
5248-YGIJN,OnlineBackup
5248-YGIJN,DeviceProtection
5248-YGIJN,TechSupport
5248-YGIJN,StreamingTV
5248-YGIJN,StreamingMovies
5248-YGIJN,InternetService_DSL
8773-HHUOZ,PhoneService
8773-HHUOZ,StreamingTV
8773-HHUOZ,StreamingMovies
8773-HHUOZ,InternetService_DSL
3841-NFECX,PhoneService
3841-NFECX,MultipleLines
3841-NFECX,OnlineSecurity
3841-NFECX,OnlineBackup
3841-NFECX,DeviceProtection
3841-NFECX,TechSupport
3841-NFECX,InternetService_Fiber
4929-XIHVW,PhoneService
4929-XIHVW,DeviceProtection
4929-XIHVW,StreamingTV
4929-XIHVW,StreamingMovies
4929-XIHVW,InternetService_Fiber
6827-IEAUQ,PhoneService
6827-IEAUQ,OnlineSecurity
6827-IEAUQ,OnlineBackup
6827-IEAUQ,DeviceProtection
6827-IEAUQ,TechSupport
6827-IEAUQ,InternetService_DSL
7310-EGVHZ,PhoneService
3413-BMNZE,PhoneService
3413-BMNZE,InternetService_DSL
6234-RAAPL,PhoneService
6234-RAAPL,MultipleLines
6234-RAAPL,OnlineSecurity
6234-RAAPL,OnlineBackup
6234-RAAPL,TechSupport
6234-RAAPL,StreamingTV
6234-RAAPL,InternetService_Fiber
6047-YHPVI,PhoneService
6047-YHPVI,InternetService_Fiber
6572-ADKRS,PhoneService
